GEO,COICOP,TIME,VALUE
FI,CP00,2016-11-01,0.7
FI,CP00,2016-12-01,1.1
FI,CP00,2017-01-01,0.9
FI,CP00,2017-02-01,1.4
FI,CP00,2017-03-01,0.9
FI,CP00,2017-04-01,1.0
FI,CP00,2017-05-01,0.9
FI,CP00,2017-06-01,0.9
FI,CP00,2017-07-01,0.6
FI,CP00,2017-08-01,0.8
FI,CP00,2017-09-01,0.8
FI,CP00,2017-10-01,0.5
FI,CP00,2017-11-01,0.9
FI,CP00,2017-12-01,0.5
FI,CP00,2018-01-01,0.9
FI,CP00,2018-02-01,0.6
FI,CP00,2018-03-01,0.9
FI,CP00,2018-04-01,0.8
FI,CP00,2018-05-01,1.0
FI,CP00,2018-06-01,1.2
FI,CP00,2018-07-01,1.4
FI,CP00,2018-08-01,1.4
FI,CP00,2018-09-01,1.4
FI,CP00,2018-10-01,1.7
FI,CP00,2018-11-01,1.4
FI,CP00,2018-12-01,1.3
FI,CP00,2019-01-01,1.2
FI,CP00,2019-02-01,1.3
FI,CP00,2019-03-01,1.1
FI,CP00,2019-04-01,1.5
FI,CP00,2019-05-01,1.3
FI,CP00,2019-06-01,1.1
FI,CP00,2019-07-01,1.0
FI,CP00,2019-08-01,1.2
FI,CP00,2019-09-01,1.0
FI,CP00,2019-10-01,0.9
FI,CP00,2019-11-01,0.8
FI,CP00,2019-12-01,1.1
FI,CP00,2020-01-01,1.2
FI,CP00,2020-02-01,1.1
FI,CP00,2020-03-01,0.9
FI,CP00,2020-04-01,-0.3
FI,CP00,2020-05-01,-0.2
FI,CP00,2020-06-01,0.1
FI,CP00,2020-07-01,0.7
FI,CP00,2020-08-01,0.3
FI,CP00,2020-09-01,0.3
FI,CP00,2020-10-01,0.2
FI,CP00,2020-11-01,0.2
FI,CP00,2020-12-01,0.2
FI,CP00,2021-01-01,1.0
FI,CP00,2021-02-01,0.9
FI,CP00,2021-03-01,1.4
FI,CP00,2021-04-01,2.2
FI,CP00,2021-05-01,2.3
FI,CP00,2021-06-01,1.9
FI,CP00,2021-07-01,1.8
FI,CP00,2021-08-01,1.8
FI,CP00,2021-09-01,2.1
FI,CP00,2021-10-01,2.8
FI,CP00,2021-11-01,3.5
FI,CP00,2021-12-01,3.2
FI,CP00,2022-01-01,4.1
FI,CP00,2022-02-01,4.4
FI,CP00,2022-03-01,5.8
FI,CP00,2022-04-01,5.8
FI,CP00,2022-05-01,7.1
FI,CP00,2022-06-01,8.1
FI,CP00,2022-07-01,8.0
FI,CP00,2022-08-01,7.9
FI,CP00,2022-09-01,8.4
FI,CP00,2022-10-01,8.4
FI,CP00,2022-11-01,9.1
FI,CP00,2022-12-01,8.8
FI,CP00,2023-01-01,7.9
FI,CP00,2023-02-01,7.9
FI,CP00,2023-03-01,6.7
FI,CP00,2023-04-01,6.3
FI,CP00,2023-05-01,5.0
FI,CP00,2023-06-01,4.1
FI,CP00,2023-07-01,4.2
FI,CP00,2023-08-01,3.1
FI,CP00,2023-09-01,3.0
FI,CP00,2023-10-01,2.4
FI,CP00,2023-11-01,0.7
FI,CP00,2023-12-01,1.3
FI,CP00,2024-01-01,1.1
FI,CP00,2024-02-01,1.1
FI,CP00,2024-03-01,0.6
FI,CP00,2024-04-01,0.6
FI,CP00,2024-05-01,0.5
FI,CP00,2024-06-01,0.6
FI,CP00,2024-07-01,0.5
FI,CP00,2024-08-01,1.1
FI,CP00,2024-09-01,0.9
